year,date,ticker,name,status
2012,20120702,005180,빙그레,ok
2012,20120702,005300,롯데칠성,ok
2012,20120702,005380,현대차,ok
2012,20120702,005490,POSCO,ok
2012,20120702,005690,파미셀,ok
2012,20120702,005850,에스엘,ok
2012,20120702,005930,삼성전자,ok
2012,20120702,005940,우리투자증권,ok
2012,20120702,005950,이수화학,ok
2012,20120702,006120,SK케미칼,ok
2012,20120702,006260,LS,ok
2012,20120702,006280,녹십자,ok
2012,20120702,006360,GS건설,ok
2012,20120702,006380,카프로,ok
2012,20120702,006400,삼성SDI,ok
2012,20120702,006650,대한유화,ok
2012,20120702,006800,대우증권,ok
2012,20120702,007310,오뚜기,ok
2012,20120702,007340,동아타이어,ok
2012,20120702,007570,일양약품,ok
2012,20120702,007690,국도화학,ok
2012,20120702,007860,한일이화,ok
2012,20120702,008000,웅진케미칼,ok
2012,20120702,008040,동아원,ok
2012,20120702,008060,대덕전자,ok
2012,20120702,009150,삼성전기,ok
2012,20120702,009420,한올바이오파마,ok
2012,20120702,009540,현대중공업,ok
2012,20120702,009580,무림P&P,ok
2012,20120702,009680,모토닉,ok
2012,20120702,009830,한화케미칼,ok
2012,20120702,010060,OCI,ok
2012,20120702,010120,LS산전,ok
2012,20120702,010130,고려아연,ok
2012,20120702,010140,삼성중공업,ok
2012,20120702,010520,현대하이스코,ok
2012,20120702,010620,현대미포조선,ok
2012,20120702,010690,화신,ok
2012,20120702,010780,아이에스동서,ok
2012,20120702,010950,S-Oil,ok
2012,20120702,011070,LG이노텍,ok
2012,20120702,011170,호남석유,ok
2012,20120702,011200,현대상선,ok
2012,20120702,011210,현대위아,ok
2012,20120702,011780,금호석유,ok
2012,20120702,011790,SKC,ok
2012,20120702,011810,STX,ok
2012,20120702,012330,현대모비스,ok
2012,20120702,012450,삼성테크윈,ok
2012,20120702,012630,현대산업,ok
2012,20120702,012750,에스원,ok
2012,20120702,013570,동양기전,ok
2012,20120702,014830,유니드,ok
2012,20120702,015760,한국전력,ok
2012,20120702,016360,삼성증권,ok
2012,20120702,016380,동부제철,ok
2012,20120702,017670,SK텔레콤,ok
2012,20120702,017800,현대엘리베이,ok
2012,20120702,018880,한라공조,ok
2012,20120702,019680,대교,ok
2012,20120702,020000,한섬,ok
2012,20120702,020150,일진머티리얼즈,ok
2012,20120702,020760,일진디스플,ok
2012,20120702,021240,웅진코웨이,ok
2012,20120702,023530,롯데쇼핑,ok
2012,20120702,024110,기업은행,ok
2012,20120702,025000,KPX케미칼,ok
2012,20120702,025540,한국단자,ok
2012,20120702,025860,남해화학,ok
2012,20120702,028050,삼성엔지니어링,ok
2012,20120702,028670,STX팬오션,ok
2012,20120702,029530,신도리코,ok
2012,20120702,029780,삼성카드,ok
2012,20120702,030000,제일기획,ok
2012,20120702,030200,KT,ok
2012,20120702,032640,LG유플러스,ok
2012,20120702,032830,삼성생명,ok
2012,20120702,033530,세종공업,ok
2012,20120702,033780,KT&G,ok
2012,20120702,033920,무학,ok
2012,20120702,034020,두산중공업,ok
2012,20120702,034120,SBS,ok
2012,20120702,034220,LG디스플레이,ok
2012,20120702,034730,SK C&C,ok
2012,20120702,035250,강원랜드,ok
2012,20120702,035420,NHN,ok
2012,20120702,036460,한국가스공사,ok
2012,20120702,036570,엔씨소프트,ok
2012,20120702,037620,미래에셋증권,ok
2012,20120702,042660,대우조선해양,ok
2012,20120702,042670,두산인프라코어,ok
2012,20120702,047040,대우건설,ok
2012,20120702,047050,대우인터내셔널,ok
2012,20120702,051310,성진지오텍,ok
2012,20120702,051900,LG생활건강,ok
2012,20120702,051910,LG화학,ok
2012,20120702,052690,한전기술,ok
2012,20120702,053000,우리금융,ok
2012,20120702,055550,신한지주,ok
2012,20120702,060980,만도,ok
2012,20120702,064420,케이피케미칼,ok
2012,20120702,064960,S&T모티브,ok
2012,20120702,066570,LG전자,ok
2012,20120702,067250,STX조선해양,ok
2012,20120702,068870,LG생명과학,ok
2012,20120702,069260,휴켐스,ok
2012,20120702,069620,대웅제약,ok
2012,20120702,069960,현대백화점,ok
2012,20120702,071050,한국금융지주,ok
2012,20120702,073240,금호타이어,ok
2012,20120702,077970,STX엔진,ok
2012,20120702,078930,GS,ok
2012,20120702,082740,두산엔진,ok
2012,20120702,084870,베이직하우스,ok
2012,20120702,086280,현대글로비스,ok
2012,20120702,086790,하나금융지주,ok
2012,20120702,088350,대한생명,ok
2012,20120702,090430,아모레퍼시픽,ok
2012,20120702,093050,LG패션,ok
2012,20120702,093370,후성,ok
2012,20120702,096770,SK이노베이션,ok
2012,20120702,097230,한진중공업,ok
2012,20120702,097950,CJ제일제당,ok
2012,20120702,103130,웅진에너지,ok
2012,20120702,103140,풍산,ok
2012,20120702,103590,일진전기,ok
2012,20120702,104700,한국철강,ok
2012,20120702,105560,KB금융,ok
2012,20120702,108670,LG하우시스,ok
2012,20120702,115390,락앤락,ok
2012,20120702,120110,코오롱인더,ok
2012,20120702,128940,한미약품,ok
2012,20120702,138930,BS금융지주,ok
2013,20130701,000070,삼양홀딩스,ok
2013,20130701,000080,하이트진로,ok
2013,20130701,000100,유한양행,ok
2013,20130701,000120,CJ대한통운,ok
2013,20130701,000140,하이트진로홀딩스,ok
2013,20130701,000150,두산,ok
2013,20130701,000210,대림산업,ok
2013,20130701,000240,한국타이어월드와이드,ok
2013,20130701,000270,기아차,ok
2013,20130701,000430,대원강업,ok
2013,20130701,000640,동아쏘시오홀딩스,ok
2013,20130701,000660,SK하이닉스,ok
2013,20130701,000670,영풍,ok
2013,20130701,000700,한진해운홀딩스,ok
2013,20130701,000720,현대건설,ok
2013,20130701,000810,삼성화재,ok
2013,20130701,000830,삼성물산,ok
2013,20130701,000880,한화,ok
2013,20130701,000990,동부하이텍,ok
2013,20130701,001040,CJ,ok
2013,20130701,001120,LG상사,ok
2013,20130701,001230,동국제강,ok
2013,20130701,001300,제일모직,ok
2013,20130701,001430,세아베스틸,ok
2013,20130701,001440,대한전선,ok
2013,20130701,001520,동양,ok
2013,20130701,001630,종근당,ok
2013,20130701,001680,대상,ok
2013,20130701,001740,SK네트웍스,ok
2013,20130701,001800,오리온,ok
2013,20130701,002020,코오롱,ok
2013,20130701,002240,고려제강,ok
2013,20130701,002270,롯데푸드,ok
2013,20130701,002350,넥센타이어,ok
2013,20130701,002380,KCC,ok
2013,20130701,002790,아모레G,ok
2013,20130701,002960,한국쉘석유,ok
2013,20130701,003000,부광약품,ok
2013,20130701,003030,세아제강,ok
2013,20130701,003240,태광산업,ok
2013,20130701,003300,한일시멘트,ok
2013,20130701,003410,쌍용양회,ok
2013,20130701,003450,현대증권,ok
2013,20130701,003490,대한항공,ok
2013,20130701,003550,LG,ok
2013,20130701,003570,S&T중공업,ok
2013,20130701,003600,SK,ok
2013,20130701,003620,쌍용차,ok
2013,20130701,003920,남양유업,ok
2013,20130701,004000,삼성정밀화학,ok
2013,20130701,004020,현대제철,ok
2013,20130701,004130,대덕GDS,ok
2013,20130701,004150,한솔제지,ok
2013,20130701,004170,신세계,ok
2013,20130701,004370,농심,ok
2013,20130701,004430,송원산업,ok
2013,20130701,004490,세방전지,ok
2013,20130701,004710,한솔테크닉스,ok
2013,20130701,004800,효성,ok
2013,20130701,004990,롯데제과,ok
2013,20130701,005090,삼광글라스,ok
2013,20130701,005180,빙그레,ok
2013,20130701,005300,롯데칠성,ok
2013,20130701,005380,현대차,ok
2013,20130701,005490,POSCO,ok
2013,20130701,005690,파미셀,ok
2013,20130701,005830,동부화재,ok
2013,20130701,005850,에스엘,ok
2013,20130701,005930,삼성전자,ok
2013,20130701,005940,우리투자증권,ok
2013,20130701,005950,이수화학,ok
2013,20130701,006120,SK케미칼,ok
2013,20130701,006260,LS,ok
2013,20130701,006280,녹십자,ok
2013,20130701,006360,GS건설,ok
2013,20130701,006380,카프로,ok
2013,20130701,006400,삼성SDI,ok
2013,20130701,006650,대한유화,ok
2013,20130701,006800,대우증권,ok
2013,20130701,007070,GS리테일,ok
2013,20130701,007310,오뚜기,ok
2013,20130701,007340,동아타이어,ok
2013,20130701,007570,일양약품,ok
2013,20130701,007690,국도화학,ok
2013,20130701,007810,코리아써키트,ok
2013,20130701,007860,한일이화,ok
2013,20130701,008000,웅진케미칼,ok
2013,20130701,008060,대덕전자,ok
2013,20130701,009150,삼성전기,ok
2013,20130701,009420,한올바이오파마,ok
2013,20130701,009540,현대중공업,ok
2013,20130701,009580,무림P&P,ok
2013,20130701,009680,모토닉,ok
2013,20130701,009830,한화케미칼,ok
2013,20130701,010060,OCI,ok
2013,20130701,010120,LS산전,ok
2013,20130701,010130,고려아연,ok
2013,20130701,010140,삼성중공업,ok
2013,20130701,010520,현대하이스코,ok
2013,20130701,010620,현대미포조선,ok
2013,20130701,010690,화신,ok
2013,20130701,010780,아이에스동서,ok
2013,20130701,010950,S-Oil,ok
2013,20130701,011070,LG이노텍,ok
2013,20130701,011170,롯데케미칼,ok
2013,20130701,011200,현대상선,ok
2013,20130701,011210,현대위아,ok
2013,20130701,011780,금호석유,ok
2013,20130701,011790,SKC,ok
2013,20130701,011810,STX,ok
2013,20130701,012330,현대모비스,ok
2013,20130701,012450,삼성테크윈,ok
2013,20130701,012630,현대산업,ok
2013,20130701,012750,에스원,ok
2013,20130701,013570,동양기전,ok
2013,20130701,014830,유니드,ok
2013,20130701,015760,한국전력,ok
2013,20130701,016360,삼성증권,ok
2013,20130701,016800,퍼시스,ok
2013,20130701,017670,SK텔레콤,ok
2013,20130701,017800,현대엘리베이,ok
2013,20130701,018880,한라비스테온공조,ok
2013,20130701,019680,대교,ok
2013,20130701,020000,한섬,ok
2013,20130701,020150,일진머티리얼즈,ok
2013,20130701,020760,일진디스플,ok
2013,20130701,021240,코웨이,ok
2013,20130701,023530,롯데쇼핑,ok
2013,20130701,024110,기업은행,ok
2013,20130701,025000,KPX케미칼,ok
2013,20130701,025540,한국단자,ok
2013,20130701,025860,남해화학,ok
2013,20130701,028050,삼성엔지니어링,ok
2013,20130701,029530,신도리코,ok
2013,20130701,029780,삼성카드,ok
2013,20130701,030000,제일기획,ok
2013,20130701,030200,KT,ok
2013,20130701,032640,LG유플러스,ok
2013,20130701,032830,삼성생명,ok
2013,20130701,033530,세종공업,ok
2013,20130701,033780,KT&G,ok
2013,20130701,033920,무학,ok
